Rango Edad,Cantidad Personas,Rango salarial (SMLV),Genero,Tipo Pension
0-19,0,Hasta 2,M,Invalidez
20-24,11,Hasta 2,M,Invalidez
25-29,80,Hasta 2,M,Invalidez
30-34,260,Hasta 2,M,Invalidez
35-39,637,Hasta 2,M,Invalidez
40-44,"1,142",Hasta 2,M,Invalidez
45-49,"2,075",Hasta 2,M,Invalidez
50-54,"4,030",Hasta 2,M,Invalidez
55-59,"7,501",Hasta 2,M,Invalidez
60-64,"9,638",Hasta 2,M,Invalidez
65-69,"9,272",Hasta 2,M,Invalidez
70-74,"6,169",Hasta 2,M,Invalidez
75-79,"3,369",Hasta 2,M,Invalidez
80-84,"1,722",Hasta 2,M,Invalidez
85-89,767,Hasta 2,M,Invalidez
90-94,279,Hasta 2,M,Invalidez
95-100,63,Hasta 2,M,Invalidez
100-104,10,Hasta 2,M,Invalidez
0-19,0,Hasta 2,F,Invalidez
20-24,9,Hasta 2,F,Invalidez
25-29,56,Hasta 2,F,Invalidez
30-34,175,Hasta 2,F,Invalidez
35-39,384,Hasta 2,F,Invalidez
40-44,866,Hasta 2,F,Invalidez
45-49,"1,587",Hasta 2,F,Invalidez
50-54,"3,104",Hasta 2,F,Invalidez
55-59,"4,969",Hasta 2,F,Invalidez
60-64,"6,295",Hasta 2,F,Invalidez
65-69,"5,579",Hasta 2,F,Invalidez
70-74,"3,545",Hasta 2,F,Invalidez
75-79,"2,246",Hasta 2,F,Invalidez
80-84,"1,036",Hasta 2,F,Invalidez
85-89,495,Hasta 2,F,Invalidez
90-94,202,Hasta 2,F,Invalidez
95-100,41,Hasta 2,F,Invalidez
100-104,10,Hasta 2,F,Invalidez
0-19,0,Entre 2 y 4,M,Invalidez
20-24,0,Entre 2 y 4,M,Invalidez
25-29,0,Entre 2 y 4,M,Invalidez
30-34,0,Entre 2 y 4,M,Invalidez
35-39,7,Entre 2 y 4,M,Invalidez
40-44,44,Entre 2 y 4,M,Invalidez
45-49,76,Entre 2 y 4,M,Invalidez
50-54,184,Entre 2 y 4,M,Invalidez
55-59,367,Entre 2 y 4,M,Invalidez
60-64,397,Entre 2 y 4,M,Invalidez
65-69,243,Entre 2 y 4,M,Invalidez
70-74,90,Entre 2 y 4,M,Invalidez
75-79,27,Entre 2 y 4,M,Invalidez
80-84,17,Entre 2 y 4,M,Invalidez
85-89,12,Entre 2 y 4,M,Invalidez
90-94,2,Entre 2 y 4,M,Invalidez
95-100,0,Entre 2 y 4,M,Invalidez
100-104,0,Entre 2 y 4,M,Invalidez
0-19,0,Entre 2 y 4,F,Invalidez
20-24,0,Entre 2 y 4,F,Invalidez
25-29,0,Entre 2 y 4,F,Invalidez
30-34,1,Entre 2 y 4,F,Invalidez
35-39,8,Entre 2 y 4,F,Invalidez
40-44,32,Entre 2 y 4,F,Invalidez
45-49,57,Entre 2 y 4,F,Invalidez
50-54,124,Entre 2 y 4,F,Invalidez
55-59,146,Entre 2 y 4,F,Invalidez
60-64,85,Entre 2 y 4,F,Invalidez
65-69,32,Entre 2 y 4,F,Invalidez
70-74,13,Entre 2 y 4,F,Invalidez
75-79,5,Entre 2 y 4,F,Invalidez
80-84,2,Entre 2 y 4,F,Invalidez
85-89,3,Entre 2 y 4,F,Invalidez
90-94,0,Entre 2 y 4,F,Invalidez
95-100,0,Entre 2 y 4,F,Invalidez
100-104,0,Entre 2 y 4,F,Invalidez
0-19,0,Entre 4 y 7,M,Invalidez
20-24,0,Entre 4 y 7,M,Invalidez
25-29,0,Entre 4 y 7,M,Invalidez
30-34,0,Entre 4 y 7,M,Invalidez
35-39,1,Entre 4 y 7,M,Invalidez
40-44,9,Entre 4 y 7,M,Invalidez
45-49,15,Entre 4 y 7,M,Invalidez
50-54,60,Entre 4 y 7,M,Invalidez
55-59,162,Entre 4 y 7,M,Invalidez
60-64,269,Entre 4 y 7,M,Invalidez
65-69,82,Entre 4 y 7,M,Invalidez
70-74,19,Entre 4 y 7,M,Invalidez
75-79,7,Entre 4 y 7,M,Invalidez
